[2026-05-05 12:21:09] | USER: anonymous (id=-, role=) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/statistics | METHOD: GET | IP: 172.20.121.183 | STATUS: 404 | INFO: HTTP GET → 404
[2026-05-05 12:21:09] | USER: anonymous (id=-, role=) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/statistics/ | METHOD: GET | IP: 172.20.121.183 | STATUS: 401 | INFO: HTTP GET → 401
[2026-05-05 12:21:14] | USER: anonymous (id=-, role=) | ACTION: LOGIN | MODEL: CustomUser | OBJ_ID: 2 | ENDPOINT: /api/login/ | METHOD: POST | IP: 172.20.121.183 | STATUS: 200 | INFO: dekan tizimga kirdi
[2026-05-05 12:21:14] | USER: anonymous (id=-, role=) | ACTION: CREATE | MODEL:  | OBJ_ID: - | ENDPOINT: /api/login/ | METHOD: POST | IP: 172.20.121.183 | STATUS: 200 | INFO: HTTP POST → 200
[2026-05-05 12:28:57] | USER: anonymous (id=-, role=) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/faculties/ | METHOD: GET | IP: 172.20.9.51 | STATUS: 401 | INFO: HTTP GET → 401
[2026-05-05 12:28:57] | USER: anonymous (id=-, role=) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/statistika/ | METHOD: GET | IP: 172.20.9.51 | STATUS: 404 | INFO: HTTP GET → 404
[2026-05-05 12:28:57] | USER: anonymous (id=-, role=) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/statistika/ | METHOD: GET | IP: 172.20.9.51 | STATUS: 404 | INFO: HTTP GET → 404
[2026-05-05 12:28:57] | USER: anonymous (id=-, role=) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/faculties/ | METHOD: GET | IP: 172.20.9.51 | STATUS: 401 | INFO: HTTP GET → 401
[2026-05-05 12:29:04] | USER: anonymous (id=-, role=) | ACTION: LOGIN | MODEL: CustomUser | OBJ_ID: 1 | ENDPOINT: /api/login/ | METHOD: POST | IP: 172.20.9.51 | STATUS: 200 | INFO: admin tizimga kirdi
[2026-05-05 12:29:04] | USER: anonymous (id=-, role=) | ACTION: CREATE | MODEL:  | OBJ_ID: - | ENDPOINT: /api/login/ | METHOD: POST | IP: 172.20.9.51 | STATUS: 200 | INFO: HTTP POST → 200
[2026-05-05 12:29:04] | USER: anonymous (id=-, role=) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/statistika/ | METHOD: GET | IP: 172.20.9.51 | STATUS: 404 | INFO: HTTP GET → 404
[2026-05-05 12:29:04] | USER: admin (id=1, role=Admin) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/faculties/ | METHOD: GET | IP: 172.20.9.51 | STATUS: 200 | INFO: HTTP GET → 200
[2026-05-05 12:29:04] | USER: anonymous (id=-, role=) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/statistika/ | METHOD: GET | IP: 172.20.9.51 | STATUS: 404 | INFO: HTTP GET → 404
[2026-05-05 12:29:04] | USER: admin (id=1, role=Admin) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/faculties/ | METHOD: GET | IP: 172.20.9.51 | STATUS: 200 | INFO: HTTP GET → 200
[2026-05-05 12:29:04] | USER: admin (id=1, role=Admin) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/faculty/directions/ | METHOD: GET | IP: 172.20.9.51 | STATUS: 200 | INFO: HTTP GET → 200
[2026-05-05 12:29:07] | USER: admin (id=1, role=Admin) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/faculty/direction/groups/ | METHOD: GET | IP: 172.20.9.51 | STATUS: 200 | INFO: HTTP GET → 200
[2026-05-05 12:29:08] | USER: anonymous (id=-, role=) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/statistika/ | METHOD: GET | IP: 172.20.9.51 | STATUS: 404 | INFO: HTTP GET → 404
[2026-05-05 12:29:08] | USER: admin (id=1, role=Admin) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/faculties/ | METHOD: GET | IP: 172.20.9.51 | STATUS: 200 | INFO: HTTP GET → 200
[2026-05-05 12:29:08] | USER: anonymous (id=-, role=) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/statistika/ | METHOD: GET | IP: 172.20.9.51 | STATUS: 404 | INFO: HTTP GET → 404
[2026-05-05 12:29:09] | USER: admin (id=1, role=Admin) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/faculties/ | METHOD: GET | IP: 172.20.9.51 | STATUS: 200 | INFO: HTTP GET → 200
[2026-05-05 12:29:09] | USER: admin (id=1, role=Admin) | ACTION: READ | MODEL:  | OBJ_ID: - | ENDPOINT: /api/faculty/directions/ | METHOD: GET | IP: 172.20.9.51 | STATUS: 200 | INFO: HTTP GET → 200
